"CAD_Length","CAD_Weight","Actual_Weight","Material",".copy","Date","Class"
NA,33,38,"Neon pink",1,2017-12-29,"obs"
NA,40,43,"Green",1,2017-12-29,"obs"
NA,20,23,"Green",1,2017-12-30,"test"
NA,44,47,"Green",1,2017-12-30,"obs"
NA,18,19,"Green",1,2017-12-30,"obs"
NA,3,3,"Green",1,2017-12-30,"test"
NA,5,5,"Green",1,2017-12-31,"obs"
NA,35,37,"Green",1,2018-01-01,"test"
NA,19,20,"Green",1,2018-01-02,"obs"
NA,8,9,"Green",1,2018-01-03,"obs"
NA,134,140,"Black",1,2018-01-03,"obs"
NA,43,45,"Black",1,2018-01-06,"obs"
NA,48,50,"Black",1,2018-01-10,"obs"
NA,8,9,"Black",1,2018-01-17,"test"
NA,10,11,"Black",1,2018-01-18,"obs"
NA,14,14,"Black",1,2018-01-18,"obs"
NA,23,25,"Black",1,2018-01-21,"test"
NA,17,19,"Black",1,2018-01-25,"obs"
NA,21,23,"Black",1,2018-01-26,"obs"
NA,31,34,"Black",1,2018-02-01,"obs"
NA,13,14,"Black",1,2018-02-02,"test"
NA,19,20,"Black",1,2018-02-02,"obs"
NA,33,34,"Black",1,2018-02-02,"obs"
NA,33,35,"Black",1,2018-02-05,"obs"
NA,19,19,"Black",1,2018-02-05,"obs"
NA,14,15,"Black",1,2018-02-05,"obs"
NA,33,35,"Black",1,2018-02-08,"obs"
NA,21,23,"Black",1,2018-02-09,"obs"
NA,9,10,"Black",1,2018-02-09,"test"
NA,33,34,"Black",1,2018-02-09,"obs"
27.28,65,69,"Green",1,2018-02-09,"obs"
NA,33,37,"Green",1,2018-02-12,"obs"
NA,36,39,"Green",1,2018-02-13,"obs"
NA,26,28,"Green",1,2018-02-15,"obs"
14.07,33,35,"Green",1,2018-02-16,"obs"
NA,26,28,"Green",1,2018-02-19,"test"
NA,26,29,"Green",1,2018-02-21,"obs"
NA,36,40,"Green",1,2018-02-21,"test"
NA,35,38,"Green",1,2018-02-22,"test"
15.17,36,40,"Green",1,2018-02-24,"obs"
NA,26,28,"Green",1,2018-02-24,"obs"
NA,2,2,"Green",1,2018-02-24,"obs"
NA,29,31,"Green",1,2018-02-24,"obs"
12.31,29,31,"Green",1,2018-02-27,"obs"
0.99,2,2,"Green",1,2018-02-27,"obs"
20.61,49,55,"Green",1,2018-03-01,"obs"
2.28,5,6,"Green",1,2018-03-03,"test"
18.31,44,50,"Magenta",1,2018-03-03,"obs"
17.29,41,44,"Magenta",1,2018-03-08,"obs"
17.99,43,45,"Magenta",1,2018-04-02,"obs"
17.71,42,48,"Magenta",1,2018-04-15,"obs"
19.13,46,47,"Magenta",1,2018-04-16,"test"
0.91,2,2,"Magenta",1,2018-04-17,"obs"
8.99,21,23,"Magenta",1,2018-04-18,"obs"
31.28,74,83,"Magenta",1,2018-05-01,"obs"
18.25,43,49,"Magenta",1,2018-05-05,"obs"
20.8,50,52,"Red",1,2018-05-11,"test"
12.08,29,31,"Red",1,2018-05-12,"obs"
19.31,46,48,"Neon pink",2,2018-05-21,"obs"
19.31,46,49,"Magenta",1,2018-05-21,"obs"
8.18,19,20,"Neon blue",1,2018-05-22,"obs"
7.08,17,18,"Neon blue",1,2018-06-23,"obs"
7.09,17,18,"Neon blue",1,2018-06-23,"obs"
17.6,42,44,"Neon blue",1,2018-06-25,"test"
1.61,4,4,"Neon blue",1,2018-07-01,"test"
18.25,43,46,"Neon blue",1,2018-07-02,"test"
34.69,83,88,"Red",1,2018-07-11,"obs"
18.2,43,45,"Neon pink",2,2018-07-12,"test"
22.51,54,58,"Neon blue",1,2018-07-15,"obs"
17.59,42,46,"Red",1,2018-08-12,"obs"
0.95,2,2,"Red",1,2018-08-16,"obs"
3.12,7,8,"Red",1,2018-11-19,"obs"
2.96,7,8,"Red",1,2018-11-21,"obs"
5.73,14,14,"Red",1,2018-11-21,"obs"
26.61,63,66,"Red",1,2018-12-11,"obs"
23.58,56,60,"Red",1,2018-12-12,"obs"
7.78,19,20,"Red",1,2018-12-13,"obs"
18.35,44,48,"Red",1,2019-03-03,"obs"
7.95,19,20,"Red",1,2019-03-23,"obs"
36.08,86,93,"Red",2,2019-04-20,"test"
36.08,86,94,"Red",2,2019-04-21,"obs"
36.08,86,96,"Red",2,2019-04-22,"test"
36.08,86,94,"Red",2,2019-04-23,"test"
36.08,86,94,"Red",2,2019-04-24,"obs"
36.85,88,93,"Red",2,2019-05-30,"obs"
20.64,49,51,"Red",2,2019-06-08,"obs"
23.59,56,64,"Red",2,2019-06-09,"obs"
35.09,84,86,"Red",2,2019-06-23,"obs"
